------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.86767e-10,                0.054
          2.9043e-10,               0.0541
         2.94145e-10,               0.0542
         2.97911e-10,               0.0543
         3.01729e-10,               0.0544
           3.056e-10,               0.0545
         3.09525e-10,               0.0546
         3.13505e-10,               0.0547
          3.1754e-10,               0.0548
         3.21631e-10,               0.0549
          3.2578e-10,                0.055
         3.29987e-10,               0.0551
         3.34253e-10,               0.0552
         3.38578e-10,               0.0553
         3.42965e-10,               0.0554
         3.47413e-10,               0.0555
         3.51925e-10,               0.0556
           3.565e-10,               0.0557
         3.61139e-10,               0.0558
         3.65845e-10,               0.0559
         3.70617e-10,                0.056
         3.75458e-10,               0.0561
         3.80367e-10,               0.0562
         3.85346e-10,               0.0563
         3.90397e-10,               0.0564
          3.9552e-10,               0.0565
         4.00716e-10,               0.0566
         4.05987e-10,               0.0567
         4.11334e-10,               0.0568
         4.16758e-10,               0.0569
          4.2226e-10,                0.057
         4.27842e-10,               0.0571
         4.33504e-10,               0.0572
         4.39249e-10,               0.0573
         4.45077e-10,               0.0574
          4.5099e-10,               0.0575
          4.5699e-10,               0.0576
         4.63077e-10,               0.0577
         4.69253e-10,               0.0578
          4.7552e-10,               0.0579
         4.81878e-10,                0.058
         4.88331e-10,               0.0581
         4.94878e-10,               0.0582
         5.01522e-10,               0.0583
         5.08264e-10,               0.0584
         5.15107e-10,               0.0585
          5.2205e-10,               0.0586
         5.29097e-10,               0.0587
         5.36249e-10,               0.0588
         5.43508e-10,               0.0589
         5.50876e-10,                0.059
         5.58353e-10,               0.0591
         5.65943e-10,               0.0592
         5.73648e-10,               0.0593
         5.81468e-10,               0.0594
         5.89406e-10,               0.0595
         5.97465e-10,               0.0596
         6.05645e-10,               0.0597
          6.1395e-10,               0.0598
         6.22381e-10,               0.0599
          6.3094e-10,                 0.06
         6.39631e-10,               0.0601
         6.48454e-10,               0.0602
         6.57412e-10,               0.0603
         6.66508e-10,               0.0604
         6.75745e-10,               0.0605
         6.85123e-10,               0.0606
         6.94647e-10,               0.0607
         7.04318e-10,               0.0608
         7.14139e-10,               0.0609
         7.24113e-10,                0.061
         7.34242e-10,               0.0611
          7.4453e-10,               0.0612
         7.54979e-10,               0.0613
         7.65591e-10,               0.0614
          7.7637e-10,               0.0615
         7.87319e-10,               0.0616
         7.98441e-10,               0.0617
         8.09738e-10,               0.0618
         8.21215e-10,               0.0619
         8.32874e-10,                0.062
         8.44719e-10,               0.0621
         8.56752e-10,               0.0622
         8.68978e-10,               0.0623
           8.814e-10,               0.0624
         8.94022e-10,               0.0625
         9.06846e-10,               0.0626
         9.19878e-10,               0.0627
          9.3312e-10,               0.0628
         9.46577e-10,               0.0629
         9.60253e-10,                0.063
         9.74151e-10,               0.0631
         9.88276e-10,               0.0632
         1.00263e-09,               0.0633
         1.01722e-09,               0.0634
         1.03206e-09,               0.0635
         1.04713e-09,               0.0636
         1.06246e-09,               0.0637
         1.07803e-09,               0.0638
         1.09387e-09,               0.0639
         1.10997e-09,                0.064
         1.12634e-09,               0.0641
         1.14298e-09,               0.0642
          1.1599e-09,               0.0643
         1.17711e-09,               0.0644
          1.1946e-09,               0.0645
          1.2124e-09,               0.0646
         1.23049e-09,               0.0647
         1.24889e-09,               0.0648
          1.2676e-09,               0.0649
         1.28663e-09,                0.065
         1.30599e-09,               0.0651
         1.32568e-09,               0.0652
          1.3457e-09,               0.0653
         1.36608e-09,               0.0654
          1.3868e-09,               0.0655
         1.40788e-09,               0.0656
         1.42933e-09,               0.0657
         1.45116e-09,               0.0658
         1.47336e-09,               0.0659
         1.49596e-09,                0.066
         1.51895e-09,               0.0661
         1.54234e-09,               0.0662
         1.56615e-09,               0.0663
         1.59039e-09,               0.0664
         1.61505e-09,               0.0665
         1.64015e-09,               0.0666
          1.6657e-09,               0.0667
         1.69171e-09,               0.0668
         1.71818e-09,               0.0669
         1.74513e-09,                0.067
         1.77257e-09,               0.0671
         1.80051e-09,               0.0672
         1.82895e-09,               0.0673
         1.85792e-09,               0.0674
         1.88741e-09,               0.0675
         1.91744e-09,               0.0676
         1.94803e-09,               0.0677
         1.97918e-09,               0.0678
         2.01091e-09,               0.0679
         2.04323e-09,                0.068
         2.07615e-09,               0.0681
         2.10968e-09,               0.0682
         2.14385e-09,               0.0683
         2.17865e-09,               0.0684
         2.21412e-09,               0.0685
         2.25025e-09,               0.0686
         2.28707e-09,               0.0687
          2.3246e-09,               0.0688
         2.36284e-09,               0.0689
         2.40181e-09,                0.069
         2.44154e-09,               0.0691
         2.48203e-09,               0.0692
          2.5233e-09,               0.0693
         2.56538e-09,               0.0694
         2.60828e-09,               0.0695
         2.65202e-09,               0.0696
         2.69662e-09,               0.0697
         2.74209e-09,               0.0698
         2.78847e-09,               0.0699
         2.83577e-09,                 0.07
         2.88401e-09,               0.0701
         2.93321e-09,               0.0702
          2.9834e-09,               0.0703
          3.0346e-09,               0.0704
         3.08684e-09,               0.0705
         3.14014e-09,               0.0706
         3.19452e-09,               0.0707
         3.25001e-09,               0.0708
         3.30665e-09,               0.0709
         3.36445e-09,                0.071
         3.42344e-09,               0.0711
         3.48366e-09,               0.0712
         3.54513e-09,               0.0713
         3.60789e-09,               0.0714
         3.67197e-09,               0.0715
          3.7374e-09,               0.0716
         3.80421e-09,               0.0717
         3.87244e-09,               0.0718
         3.94213e-09,               0.0719
         4.01331e-09,                0.072
         4.08602e-09,               0.0721
         4.16031e-09,               0.0722
          4.2362e-09,               0.0723
         4.31375e-09,               0.0724
           4.393e-09,               0.0725
         4.47399e-09,               0.0726
         4.55676e-09,               0.0727
         4.64137e-09,               0.0728
         4.72786e-09,               0.0729
         4.81628e-09,                0.073
         4.90669e-09,               0.0731
         4.99914e-09,               0.0732
         5.09369e-09,               0.0733
         5.19039e-09,               0.0734
         5.28929e-09,               0.0735
         5.39048e-09,               0.0736
         5.49399e-09,               0.0737
         5.59991e-09,               0.0738
         5.70829e-09,               0.0739
         5.81921e-09,                0.074
         5.93274e-09,               0.0741
         6.04895e-09,               0.0742
         6.16792e-09,               0.0743
         6.28973e-09,               0.0744
         6.41447e-09,               0.0745
         6.54221e-09,               0.0746
         6.67304e-09,               0.0747
         6.80707e-09,               0.0748
         6.94437e-09,               0.0749
         7.08505e-09,                0.075
         7.22921e-09,               0.0751
         7.37695e-09,               0.0752
         7.52839e-09,               0.0753
         7.68363e-09,               0.0754
         7.84279e-09,               0.0755
           8.006e-09,               0.0756
         8.17338e-09,               0.0757
         8.34505e-09,               0.0758
         8.52116e-09,               0.0759
         8.70185e-09,                0.076
         8.88725e-09,               0.0761
         9.07752e-09,               0.0762
         9.27283e-09,               0.0763
         9.47332e-09,               0.0764
         9.67918e-09,               0.0765
         9.89057e-09,               0.0766
         1.01077e-08,               0.0767
         1.03307e-08,               0.0768
         1.05598e-08,               0.0769
         1.07953e-08,                0.077
         1.10373e-08,               0.0771
          1.1286e-08,               0.0772
         1.15417e-08,               0.0773
         1.18047e-08,               0.0774
         1.20751e-08,               0.0775
         1.23533e-08,               0.0776
         1.26394e-08,               0.0777
         1.29339e-08,               0.0778
         1.32371e-08,               0.0779
         1.35491e-08,                0.078
         1.38703e-08,               0.0781
         1.42012e-08,               0.0782
          1.4542e-08,               0.0783
         1.48931e-08,               0.0784
         1.52548e-08,               0.0785
         1.56277e-08,               0.0786
         1.60122e-08,               0.0787
         1.64086e-08,               0.0788
         1.68174e-08,               0.0789
         1.72392e-08,                0.079
         1.76744e-08,               0.0791
         1.81235e-08,               0.0792
         1.85873e-08,               0.0793
         1.90661e-08,               0.0794
         1.95607e-08,               0.0795
         2.00717e-08,               0.0796
         2.05997e-08,               0.0797
         2.11455e-08,               0.0798
         2.17099e-08,               0.0799
         2.22937e-08,                 0.08
         2.28976e-08,               0.0801
         2.35225e-08,               0.0802
         2.41695e-08,               0.0803
         2.48394e-08,               0.0804
         2.55333e-08,               0.0805
         2.62522e-08,               0.0806
         2.69974e-08,               0.0807
           2.777e-08,               0.0808
         2.85713e-08,               0.0809
         2.94026e-08,                0.081
         3.02654e-08,               0.0811
         3.11613e-08,               0.0812
         3.20917e-08,               0.0813
         3.30585e-08,               0.0814
         3.40634e-08,               0.0815
         3.51083e-08,               0.0816
         3.61952e-08,               0.0817
         3.73264e-08,               0.0818
         3.85041e-08,               0.0819
         3.97307e-08,                0.082
         4.10089e-08,               0.0821
         4.23415e-08,               0.0822
         4.37313e-08,               0.0823
         4.51816e-08,               0.0824
         4.66958e-08,               0.0825
         4.82773e-08,               0.0826
         4.99302e-08,               0.0827
         5.16585e-08,               0.0828
         5.34667e-08,               0.0829
         5.53596e-08,                0.083
         5.73421e-08,               0.0831
         5.94199e-08,               0.0832
         6.15988e-08,               0.0833
         6.38853e-08,               0.0834
         6.62861e-08,               0.0835
         6.88087e-08,               0.0836
         7.14611e-08,               0.0837
          7.4252e-08,               0.0838
         7.71907e-08,               0.0839
         8.02875e-08,                0.084
         8.35534e-08,               0.0841
         8.70004e-08,               0.0842
         9.06417e-08,               0.0843
         9.44916e-08,               0.0844
         9.85655e-08,               0.0845
         1.02881e-07,               0.0846
         1.07456e-07,               0.0847
         1.12311e-07,               0.0848
          1.1747e-07,               0.0849
         1.22956e-07,                0.085
         1.28798e-07,               0.0851
         1.35025e-07,               0.0852
         1.41671e-07,               0.0853
         1.48773e-07,               0.0854
         1.56373e-07,               0.0855
         1.64516e-07,               0.0856
         1.73254e-07,               0.0857
         1.82645e-07,               0.0858
         1.92754e-07,               0.0859
         2.03652e-07,                0.086
         2.15423e-07,               0.0861
         2.28159e-07,               0.0862
         2.41967e-07,               0.0863
         2.56965e-07,               0.0864
         2.73292e-07,               0.0865
         2.91105e-07,               0.0866
         3.10585e-07,               0.0867
         3.31944e-07,               0.0868
         3.55423e-07,               0.0869
         3.81306e-07,                0.087
         4.09927e-07,               0.0871
         4.41677e-07,               0.0872
         4.77019e-07,               0.0873
         5.16505e-07,               0.0874
         5.60796e-07,               0.0875
         6.10689e-07,               0.0876
         6.67153e-07,               0.0877
         7.31374e-07,               0.0878
         8.04814e-07,               0.0879
         8.89297e-07,                0.088
         9.87116e-07,               0.0881
         1.10119e-06,               0.0882
         1.23528e-06,               0.0883
         1.39428e-06,               0.0884
         1.58468e-06,               0.0885
         1.81522e-06,               0.0886
         2.09789e-06,               0.0887
         2.26378e-06,              0.08875
         2.44949e-06,               0.0888
         2.65828e-06,              0.08885
         2.89412e-06,               0.0889
         3.16183e-06,              0.08895
         3.46739e-06,                0.089
         3.81821e-06,              0.08905
         4.22363e-06,               0.0891
         4.69552e-06,              0.08915
         5.24912e-06,               0.0892
         5.90432e-06,              0.08925
         6.68743e-06,               0.0893
          7.6338e-06,              0.08935
         8.79192e-06,               0.0894
         9.47059e-06,             0.089425
         1.02296e-05,              0.08945
         1.10822e-05,             0.089475
         1.20442e-05,               0.0895
         1.31352e-05,             0.089525
         1.43792e-05,              0.08955
         1.58061e-05,             0.089575
         1.74534e-05,               0.0896
         1.93688e-05,             0.089625
         2.16136e-05,              0.08965
         2.42676e-05,             0.089675
         2.74364e-05,               0.0897
         3.12618e-05,             0.089725
          3.5938e-05,              0.08975
          3.8676e-05,            0.0897625
         4.17366e-05,             0.089775
         4.51722e-05,            0.0897875
         4.90467e-05,               0.0898
          5.3438e-05,            0.0898125
          5.8442e-05,             0.089825
