------------------------------------------------------------
 Transmission Coefficient on homogeneous energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.04002e-12,                0.064
         3.13302e-12,               0.0641
         3.22958e-12,               0.0642
         3.32989e-12,               0.0643
         3.43411e-12,               0.0644
         3.54245e-12,               0.0645
          3.6551e-12,               0.0646
         3.77228e-12,               0.0647
         3.89421e-12,               0.0648
         4.02114e-12,               0.0649
         4.15333e-12,                0.065
         4.29103e-12,               0.0651
         4.43455e-12,               0.0652
          4.5842e-12,               0.0653
         4.74029e-12,               0.0654
         4.90318e-12,               0.0655
         5.07324e-12,               0.0656
         5.25088e-12,               0.0657
          5.4365e-12,               0.0658
         5.63058e-12,               0.0659
         5.83359e-12,                0.066
         6.04605e-12,               0.0661
         6.26853e-12,               0.0662
         6.50161e-12,               0.0663
         6.74595e-12,               0.0664
         7.00223e-12,               0.0665
         7.27119e-12,               0.0666
         7.55363e-12,               0.0667
         7.85042e-12,               0.0668
         8.16248e-12,               0.0669
         8.49081e-12,                0.067
          8.8365e-12,               0.0671
         9.20073e-12,               0.0672
         9.58477e-12,               0.0673
            9.99e-12,               0.0674
         1.04179e-11,               0.0675
         1.08702e-11,               0.0676
         1.13485e-11,               0.0677
         1.18549e-11,               0.0678
         1.23914e-11,               0.0679
         1.29605e-11,                0.068
         1.35646e-11,               0.0681
         1.42065e-11,               0.0682
         1.48893e-11,               0.0683
         1.56163e-11,               0.0684
         1.63914e-11,               0.0685
         1.72186e-11,               0.0686
         1.81025e-11,               0.0687
         1.90482e-11,               0.0688
         2.00612e-11,               0.0689
          2.1148e-11,                0.069
         2.23155e-11,               0.0691
         2.35715e-11,               0.0692
          2.4925e-11,               0.0693
         2.63858e-11,               0.0694
         2.79652e-11,               0.0695
         2.96758e-11,               0.0696
         3.15321e-11,               0.0697
         3.35505e-11,               0.0698
         3.57498e-11,               0.0699
         3.81515e-11,                 0.07
         4.07803e-11,               0.0701
          4.3665e-11,               0.0702
         4.68386e-11,               0.0703
         5.03401e-11,               0.0704
         5.42147e-11,               0.0705
         5.85159e-11,               0.0706
         6.33068e-11,               0.0707
         6.86627e-11,               0.0708
         7.46736e-11,               0.0709
         8.14479e-11,                0.071
         8.91176e-11,               0.0711
         9.78435e-11,               0.0712
         1.07825e-10,               0.0713
         1.19308e-10,               0.0714
         1.32604e-10,               0.0715
         1.48108e-10,               0.0716
         1.66327e-10,               0.0717
         1.87922e-10,               0.0718
         2.13764e-10,               0.0719
         2.45027e-10,                0.072
         2.83312e-10,               0.0721
         3.30858e-10,               0.0722
         3.90865e-10,               0.0723
         4.68035e-10,               0.0724
         5.69502e-10,               0.0725
         7.06513e-10,               0.0726
         8.97624e-10,               0.0727
         1.17522e-09,               0.0728
         1.59999e-09,               0.0729
         2.29665e-09,                0.073
         3.55591e-09,               0.0731
         6.19126e-09,               0.0732
         1.32597e-08,               0.0733
         4.53599e-08,               0.0734
         1.81694e-06,               0.0735
         9.91202e-08,               0.0736
         2.00662e-08,               0.0737
         8.40493e-09,               0.0738
         4.61424e-09,               0.0739
         2.92158e-09,                0.074
         2.02066e-09,               0.0741
         1.48414e-09,               0.0742
         1.13863e-09,               0.0743
         9.02909e-10,               0.0744
         7.34794e-10,               0.0745
         6.10601e-10,               0.0746
         5.16194e-10,               0.0747
         4.42707e-10,               0.0748
         3.84351e-10,               0.0749
         3.37214e-10,                0.075
         2.98573e-10,               0.0751
         2.66488e-10,               0.0752
         2.39543e-10,               0.0753
         2.16686e-10,               0.0754
         1.97123e-10,               0.0755
         1.80243e-10,               0.0756
         1.65573e-10,               0.0757
         1.52738e-10,               0.0758
         1.41441e-10,               0.0759
         1.31443e-10,                0.076
         1.22549e-10,               0.0761
         1.14601e-10,               0.0762
         1.07467e-10,               0.0763
         1.01038e-10,               0.0764
         9.52237e-11,               0.0765
         8.99459e-11,               0.0766
         8.51399e-11,               0.0767
         8.07502e-11,               0.0768
         7.67293e-11,               0.0769
         7.30364e-11,                0.077
         6.96361e-11,               0.0771
         6.64977e-11,               0.0772
         6.35946e-11,               0.0773
         6.09035e-11,               0.0774
         5.84037e-11,               0.0775
         5.60774e-11,               0.0776
         5.39083e-11,               0.0777
         5.18826e-11,               0.0778
         4.99875e-11,               0.0779
         4.82118e-11,                0.078
         4.65456e-11,               0.0781
         4.49798e-11,               0.0782
         4.35064e-11,               0.0783
         4.21181e-11,               0.0784
         4.08084e-11,               0.0785
         3.95713e-11,               0.0786
         3.84015e-11,               0.0787
          3.7294e-11,               0.0788
         3.62444e-11,               0.0789
         3.52488e-11,                0.079
         3.43033e-11,               0.0791
         3.34046e-11,               0.0792
         3.25497e-11,               0.0793
         3.17356e-11,               0.0794
         3.09598e-11,               0.0795
         3.02199e-11,               0.0796
         2.95136e-11,               0.0797
          2.8839e-11,               0.0798
          2.8194e-11,               0.0799
          2.7577e-11,                 0.08
         2.69864e-11,               0.0801
         2.64206e-11,               0.0802
         2.58783e-11,               0.0803
         2.53582e-11,               0.0804
          2.4859e-11,               0.0805
         2.43797e-11,               0.0806
         2.39191e-11,               0.0807
         2.34764e-11,               0.0808
         2.30506e-11,               0.0809
         2.26408e-11,                0.081
         2.22462e-11,               0.0811
         2.18661e-11,               0.0812
         2.14999e-11,               0.0813
         2.11467e-11,               0.0814
         2.08061e-11,               0.0815
         2.04773e-11,               0.0816
           2.016e-11,               0.0817
         1.98535e-11,               0.0818
         1.95574e-11,               0.0819
         1.92712e-11,                0.082
         1.89944e-11,               0.0821
         1.87268e-11,               0.0822
         1.84678e-11,               0.0823
         1.82171e-11,               0.0824
         1.79744e-11,               0.0825
         1.77393e-11,               0.0826
         1.75116e-11,               0.0827
         1.72909e-11,               0.0828
         1.70769e-11,               0.0829
         1.68695e-11,                0.083
         1.66682e-11,               0.0831
          1.6473e-11,               0.0832
         1.62836e-11,               0.0833
         1.60996e-11,               0.0834
         1.59211e-11,               0.0835
         1.57477e-11,               0.0836
         1.55792e-11,               0.0837
         1.54155e-11,               0.0838
         1.52565e-11,               0.0839
         1.51019e-11,                0.084
         1.49515e-11,               0.0841
         1.48054e-11,               0.0842
         1.46632e-11,               0.0843
         1.45249e-11,               0.0844
         1.43904e-11,               0.0845
         1.42594e-11,               0.0846
          1.4132e-11,               0.0847
          1.4008e-11,               0.0848
         1.38872e-11,               0.0849
         1.37696e-11,                0.085
         1.36551e-11,               0.0851
         1.35436e-11,               0.0852
         1.34349e-11,               0.0853
         1.33291e-11,               0.0854
         1.32259e-11,               0.0855
         1.31254e-11,               0.0856
         1.30275e-11,               0.0857
          1.2932e-11,               0.0858
          1.2839e-11,               0.0859
         1.27483e-11,                0.086
         1.26598e-11,               0.0861
         1.25736e-11,               0.0862
         1.24895e-11,               0.0863
         1.24075e-11,               0.0864
         1.23275e-11,               0.0865
         1.22496e-11,               0.0866
         1.21735e-11,               0.0867
         1.20993e-11,               0.0868
         1.20269e-11,               0.0869
         1.19563e-11,                0.087
         1.18875e-11,               0.0871
         1.18203e-11,               0.0872
         1.17548e-11,               0.0873
